country,country_code,2010,2012,2014,2016,2018,2020
"Nicaragua","NIC",20,40,42,45,45,47
"Netherlands","NLD",40,38,38,37,36,33
"Norway","NOR",39,39,39,39,41,41
"Nepal","NPL",33,33,29,29,32,32
"Nauru","NRU",0,0,5,5,10,10
"New Zealand","NZL",33,32,29,31,38,48
"OECD members","OED",23,25,26,27,29,31
"Oman","OMN",0,1,1,1,1,2
"Other small states","OSS",15,17,17,19,19,20
"Pakistan","PAK",22,22,20,20,20,20
"Panama","PAN",8,8,19,18,18,22
"Peru","PER",27,21,22,27,27,26
"Philippines","PHL",22,22,27,29,29,27
"Palau","PLW",0,0,0,12,12,6
"Papua New Guinea","PNG",0,2,2,2,0,0
"Poland","POL",20,23,24,27,28,28
"Pre-demographic dividend","PRE",17,20,20,22,22,22
"Puerto Rico","PRI",,,,,,
"Korea, Dem. People's Rep.","PRK",15,15,16,16,16,17
"Portugal","PRT",27,28,31,34,34,40
"Paraguay","PRY",12,12,15,15,15,16
"West Bank and Gaza","PSE",,,,,,
"Pacific island small states","PSS",,,4,6,7,8
"Post-demographic dividend","PST",24,25,28,28,30,32
"French Polynesia","PYF",,,,,,
"Qatar","QAT",0,0,0,0,9,9
"Romania","ROU",11,13,13,13,20,21
"Russian Federation","RUS",14,13,13,12,15,15
"Rwanda","RWA",56,56,63,63,61,61
"South Asia","SAS",20,20,19,19,17,18
"Saudi Arabia","SAU",0,0,19,19,19,19
"Sudan","SDN",25,24,24,30,30,
"Senegal","SEN",22,42,43,42,41,43
"Singapore","SGP",23,24,25,23,23,29
"Solomon Islands","SLB",0,2,2,2,2,6
"Sierra Leone","SLE",13,12,12,12,12,12
"El Salvador","SLV",19,26,27,32,30,33
"San Marino","SMR",16,16,18,23,26,33
"Somalia","SOM",6,13,13,,24,24
"Serbia","SRB",21,33,34,34,34,38
"Sub-Saharan Africa (excluding high income)","SSA",18,21,22,23,24,24
"South Sudan","SSD",,26,26,28,28,28
"Sub-Saharan Africa","SSF",18,21,22,23,24,24
"Small states","SST",13,15,15,17,18,19
"Sao Tome and Principe","STP",18,18,18,18,14,23
"Suriname","SUR",9,11,11,25,25,29
"Slovak Republic","SVK",15,18,18,20,20,22
"Slovenia","SVN",14,32,35,36,24,27
"Sweden","SWE",44,44,44,43,46,46
"Eswatini","SWZ",13,13,6,6,7,9
"Sint Maarten (Dutch part)","SXM",,,,,,
"Seychelles","SYC",23,43,43,21,21,24
"Syrian Arab Republic","SYR",12,12,12,13,13,11
"Turks and Caicos Islands","TCA",,,,,,
"Chad","TCD",5,14,14,14,15,15
"East Asia & Pacific (IDA & IBRD countries)","TEA",18,18,19,20,21,21
"Europe & Central Asia (IDA & IBRD countries)","TEC",15,18,18,19,21,24
"Togo","TGO",11,11,17,17,17,18
"Thailand","THA",13,15,6,6,5,15
"Tajikistan","TJK",19,19,16,19,19,23
"Turkmenistan","TKM",16,16,26,25,24,25
"Latin America & the Caribbean (IDA & IBRD countries)","TLA",19,21,23,25,27,29
"Timor-Leste","TLS",29,38,38,38,33,38
"Middle East & North Africa (IDA & IBRD countries)","TMN",10,14,16,17,16,18
"Tonga","TON",0,3,0,0,7,7
"South Asia (IDA & IBRD)","TSA",20,20,19,19,17,18
"Sub-Saharan Africa (IDA & IBRD countries)","TSS",18,21,22,23,24,24
"Trinidad and Tobago","TTO",28,28,28,30,30,26
"Tunisia","TUN",27,26,31,31,31,24
"Turkiye","TUR",9,14,14,14,17,17
"Tuvalu","TUV",0,6,6,6,6,6
"Tanzania","TZA",,36,36,36,37,36
"Uganda","UGA",31,34,34,33,34,34
"Ukraine","UKR",8,9,11,12,12,20
"Upper middle income","UMC",20,21,23,24,26,26
"Uruguay","URY",15,12,13,16,20,21
"United States","USA",16,17,19,19,23,27
"Uzbekistan","UZB",22,22,22,16,16,32
"St. Vincent and the Grenadines","VCT",14,17,13,13,13,18
"Venezuela, RB","VEN",16,16,16,14,22,22
"British Virgin Islands","VGB",,,,,,
"Virgin Islands (U.S.)","VIR",,,,,,
"Vietnam","VNM",25,24,24,26,26,26
"Vanuatu","VUT",3,0,0,0,0,0
"World","WLD",19,20,22,23,24,25
"Samoa","WSM",8,4,6,10,10,10
"Kosovo","XKX",,,,,,
"Yemen, Rep.","YEM",0,0,0,0,0,0
"South Africa","ZAF",44,42,41,42,42,46
"Zambia","ZMB",14,11,10,17,17,16
"Zimbabwe","ZWE",14,14,31,31,31,31
